repetition,delta_mae,delta_rmse,delta_spearman_rho,delta_pearson_r,delta_calibration_slope,delta_calibration_intercept
57,-0.0043376180988929924,0.013421273634964481,0.003856008002815603,-0.01737374975619771,-0.13822326425090714,0.13774695457560443
58,0.013785251728889614,0.03554426455939419,0.025146806527950594,-0.008729979074526995,-0.34639360828858556,0.36082153436845865
59,-0.020952976073148666,0.007059297603104642,0.08913541056371466,-0.015171625721244864,-0.18958253452355123,0.20777636190989657
60,-0.02230340138577591,-0.024811003474839888,0.06391817466584959,0.09285843341769659,0.2880792175010376,-0.3322230938013822
61,-0.032682385043542705,-0.019107053773124383,0.06703115281606778,0.06692859537797449,0.24319302859769237,-0.2651690885787215
62,-0.025218043741130403,0.00796087226008968,0.07357404128111922,-0.020938399520036344,-0.06914066716526646,0.06686410461601627
63,-0.014865615859516512,-0.0007550679667388538,0.07435932875566525,0.061855834981774105,-0.09991714618110292,0.09443275555474412
64,-0.030040590761597208,-0.01496809196597182,0.038774889606394664,0.04468172463089293,0.17075637706898028,-0.19564579532651372
65,0.012884472138269432,0.057506831410687576,-0.06430905766887474,-0.174902004558961,-0.5187769020291975,0.556103917046691
66,-0.012980002601784224,0.015030335019840302,0.07570100825253528,0.0012888325752353769,-0.15307612019904365,0.16047555486502113
67,0.0034232515123298057,0.037477732297036104,0.012275839176086822,-0.07996282173019223,-0.34013735501285125,0.37643251473601136
68,-0.02817601187398211,0.008901292185576004,0.1128701082248808,0.04936189718276032,-0.01761942196294941,0.022424271013170016
69,0.02157897689214422,0.05103934394312182,-0.04737431567294775,-0.10887217133967914,-0.5611556296523974,0.5947308388248712
70,0.009867632371981516,0.03461678408688551,0.015860694104731787,-0.03944599712845416,-0.2012102535009877,0.21632808933095526
71,-0.03415081497543693,-0.022128031309333163,0.11182775355014701,0.09603637718509583,0.0616139066893554,-0.04578410693719409
72,0.003147489834486872,0.022145420942769722,0.057276685082917916,-0.00941375993666857,-0.09864714841572503,0.11855793295739148
73,-0.03323735331925082,-0.023477661144293505,0.0714083381562502,0.09861485642663509,0.34852680601969366,-0.37421075291862993
74,-0.01849666619370388,0.014201808220124623,0.06990819257707262,-0.003625419672244362,-0.05783370933306334,0.06299044045370294
75,-0.00354942637356781,0.021341026292440834,0.049258301318158976,-0.004175281409441636,-0.13153564085925273,0.14667454495505183
76,0.0009104166598996044,0.040014968891025515,-0.03570064760962943,-0.12330043909100946,-0.33917032019614857,0.36650197768139514
77,0.0029027912931144373,0.011938963668885028,0.0596642407230174,0.03499584986810664,-0.11516576456694316,0.1113157045472477
78,-0.026843340040398178,-0.0024809704457303683,0.05262482520006917,0.018494561234979723,-0.09152248735307145,0.07797780848972385
79,-0.030761352744930803,-0.0032445268493076496,0.08392363719004609,0.03458120587289881,0.02374650154697422,-0.021130330400727926
80,0.009846814358490441,0.022772852043708824,0.0409405927312637,0.01289927839314299,-0.016423414255729962,0.019316494888365177
81,-0.001318319972860249,0.0337917040077772,-0.0014649308942203398,-0.0015106394510259191,-0.16850876179577257,0.18519572149930064
82,-0.048824067653698955,-0.023094805228592308,0.06766149567680202,0.06830396895368773,0.19356163992195086,-0.21028132031161526
83,-0.04066226283599356,-0.03376571581256771,0.11747618901728504,0.17120812917785816,0.25230639487188233,-0.279459751915812
84,-0.018106741396175463,-0.00950090180479668,0.013807677971725829,0.04458083158588133,0.057405446939092775,-0.06613715615566246
85,-0.005558649702928631,0.023880089683513406,0.032806000506145905,-0.051021649867503155,-0.2621929960751024,0.2847853515312835
86,-0.026595832249799722,-0.002255060883643023,0.13483702870119452,0.02099080725436392,-0.10651677841937135,0.11176100995937371
87,-0.03936285313620208,-0.014674825340888487,0.018973672254949975,0.049096681881303395,0.23189610096950053,-0.2592558637925817
88,-0.018674438978971808,0.008887195554084792,0.0772011538317128,0.02920892342138065,-0.018112235605379334,0.021971006878949262
89,-0.022786953470156912,-0.017470731985840593,0.06778474707415233,0.07201434564387443,0.12576513514097798,-0.1339907375395067
90,-0.005741283905970285,0.010857542027824296,0.048106781120057895,-0.04545790695763702,-0.26064646118456103,0.2674702960041003
91,-0.04117907838784779,-0.027499846497198832,0.10230922420621053,0.09546756766070086,0.357321126294772,-0.3770398488969329
92,-0.01697209666440458,-0.016057716062682026,0.06057277959491372,0.07280390477804075,0.17076063412484732,-0.1904537714133172
93,-0.043211550766083906,-0.02063678117986345,0.07656728950248287,0.060685964670331854,0.21412322310811716,-0.24310755190276018
94,-0.01161100600104803,0.006775112718142684,0.014438020832460041,0.02612092205781602,-0.15259253394375882,0.145771705281583
95,0.005495974407752624,0.034048570516966636,0.036514106832141124,-0.06209193016884387,-0.35583495651771324,0.3894138764019969
96,-0.02376639899688998,0.0002499955228409956,0.06773192504671649,0.016488711207396034,-0.0406398357883333,0.035045991220706896
97,-0.03893298523450123,-0.023266193470964813,0.0888431286785697,0.057632159971800406,0.21488676618059077,-0.22809811252602408
98,-0.011488184573245686,0.01661964503640012,0.07203868101698441,-0.031733697184248566,-0.24953968293568785,0.2611567422109581
99,0.016145755420450048,-0.0013957364074567158,0.06883766615437314,0.13347611099744586,0.10054167210893489,-0.10941765768791256
100,-0.024796941441655118,0.004239050113684084,0.019751916792504598,0.0020128671843777646,-0.08538765144652427,0.08178818713924835
