repetition,level,baseline_mae,baseline_rmse,baseline_spearman_rho,baseline_pearson_r,baseline_calibration_slope,baseline_calibration_intercept,extended_mae,extended_rmse,extended_spearman_rho,extended_pearson_r,extended_calibration_slope,extended_calibration_intercept,delta_mae,delta_rmse,delta_spearman_rho,delta_pearson_r,delta_calibration_slope,delta_calibration_intercept
19,participant,0.4891119760340295,0.6315948653533501,0.3431925583574361,0.31285144307089885,0.6536545941344424,0.38175337806005644,0.49666634963560363,0.6344264649878851,0.37810821766054625,0.3310479395202264,0.6030226864474278,0.4365114821714998,0.007554373601574127,0.0028315996345350536,0.034915659303110136,0.018196496449327526,-0.05063190768701453,0.054758104111443384
20,row,0.5448423853954502,0.6992184440122894,0.16447018609269481,0.11668117292852921,0.2351660016282443,0.8361235061024914,0.5451573421771964,0.7097787907191098,0.24043178301391355,0.16296983610038207,0.27120909657323083,0.7957768203739182,0.0003149567817462007,0.010560346706820378,0.07596159692121873,0.04628866317185286,0.03604309494498653,-0.04034668572857325
20,participant,0.5343734935913731,0.6903052170379955,0.1811792669310642,0.12240167596242804,0.25672726411301117,0.8057288867242158,0.5380418184011307,0.6827460996276398,0.249215584810259,0.18404801953255953,0.34652173880959636,0.7075518298669388,0.0036683248097576504,-0.0075591174103557535,0.06803631787919479,0.06164634357013149,0.08979447469658519,-0.09817705685727707
21,row,0.51322079615649,0.6653358705860098,0.2537429339277426,0.22147995499496795,0.45075226377561917,0.6028542530596492,0.5156199792211632,0.6807433558456888,0.2854150215782661,0.23381545151318067,0.3964260983118843,0.6577048641583644,0.002399183064673238,0.015407485259678944,0.031672087650523484,0.012335496518212724,-0.054326165463734866,0.05485061109871514
21,participant,0.5082559791266231,0.6576261722194731,0.2726664007601091,0.2247135310100838,0.4815696733289994,0.5636076631713471,0.5083925519450319,0.654385189028647,0.28355221162078026,0.2592186884760769,0.5033541860966312,0.5358335029899969,0.00013657281840873114,-0.0032409831908261078,0.010885810860671141,0.034505157465993086,0.02178451276763177,-0.02777416018135026
22,row,0.5030067333139578,0.6372102628890932,0.3207459149958446,0.31121369684430134,0.623071405868345,0.39886334533035317,0.49704675672236304,0.6408050122671991,0.3923127192344023,0.3423209943468921,0.574620804469215,0.44233651488445025,-0.005959976591594807,0.003594749378105888,0.07156680423855771,0.03110729750259078,-0.04845060139912993,0.04347316955409708
22,participant,0.4942262848030314,0.6295038420530173,0.36151893674787455,0.3185993816283137,0.6722787072608016,0.339250933469854,0.49014373499395597,0.6167879787708908,0.4080152459027625,0.375078774094051,0.7079324910938156,0.28796992852289305,-0.004082549809075409,-0.012715863282126594,0.04649630915488795,0.0564793924657373,0.035653783833013986,-0.05128100494696097
23,row,0.5048606032080497,0.6468559382321655,0.30797707023035675,0.2817665955800046,0.5688455269587437,0.4848751090563656,0.5042218366287157,0.6567501620349602,0.3812905228427925,0.3017221695201977,0.5042825704326467,0.54930139371728,-0.000638766579334038,0.0098942238027947,0.07331345261243577,0.019955573940193094,-0.064562956526097,0.06442628466091443
23,participant,0.4987974749403151,0.6400919612018084,0.32891940741511994,0.2853574829001274,0.6032118116629563,0.4429900410110847,0.49956737663030326,0.6328302769659332,0.3826536227273691,0.3289005214690205,0.618662367850295,0.42221950747000075,0.0007699016899881395,-0.007261684235875254,0.053734215312249145,0.04354303856889308,0.015450556187338704,-0.020770533541083935
24,row,0.48533805361155213,0.6197788020219814,0.35416465102024614,0.35274410577570536,0.7554348420823012,0.26925504687741997,0.4819409853162091,0.6272686275688119,0.41450501369444226,0.36347281429081213,0.6387947473144698,0.3978405096793085,-0.003397068295343031,0.00748982554683042,0.060340362674196124,0.010728708515106766,-0.11664009476783133,0.12858546280188854
24,participant,0.4785085156449637,0.6125294377953769,0.36898845590227125,0.3626814777615164,0.8221884553801115,0.19236130807018795,0.47525926257790685,0.6052790291009588,0.4316108199757599,0.3969725451778477,0.7868427358371698,0.23413035570970256,-0.0032492530670568676,-0.007250408694418176,0.06262236407348865,0.03429106741633131,-0.035345719542941745,0.04176904763951461
25,row,0.5070241620270777,0.6431880914055278,0.28915482112072277,0.2839102613464499,0.5965802775579819,0.42784629822614756,0.49904353139019497,0.645581273668525,0.3539427985050157,0.32202934946561823,0.5553927213235694,0.469917492568359,-0.007980630636882702,0.002393182262997229,0.06478797738429293,0.03811908811916831,-0.0411875562344125,0.04207119434221146
25,participant,0.5005795270591425,0.6363047200947155,0.28821342318612087,0.2900764099179474,0.6396228528801483,0.3745598767291163,0.4931785767020676,0.6234435850495094,0.356076031317539,0.35002049504553046,0.68135637132083,0.32551362312884263,-0.007400950357074942,-0.01286113504520614,0.06786260813141815,0.059944085127583036,0.04173351844068174,-0.04904625360027365
