repetition,level,baseline_mae,baseline_rmse,baseline_spearman_rho,baseline_pearson_r,baseline_calibration_slope,baseline_calibration_intercept,extended_mae,extended_rmse,extended_spearman_rho,extended_pearson_r,extended_calibration_slope,extended_calibration_intercept,delta_mae,delta_rmse,delta_spearman_rho,delta_pearson_r,delta_calibration_slope,delta_calibration_intercept
11,participant,0.4837390383913195,0.632893062798754,0.3313223922593638,0.3003523639842792,0.6726849718997797,0.3312998015377569,0.473034475394481,0.6234114171142179,0.3659195836915501,0.3532274333443912,0.6841494971079924,0.3124797114272323,-0.0107045629968385,-0.0094816456845361,0.0345971914321862,0.0528750693601119,0.0114645252082127,-0.0188200901105246
12,participant,0.4987190796865519,0.6449938540622251,0.2868237452039075,0.2617943756553242,0.5732015628406156,0.4544959598076692,0.5042030597867405,0.647273184317601,0.3217104528823882,0.284284388370793,0.5436604935902619,0.4849887832932518,0.0054839801001885,0.0022793302553758,0.0348867076784807,0.0224900127154687,-0.0295410692503537,0.0304928234855825
13,participant,0.5172730513406208,0.6761208498178317,0.2442938086232534,0.1795296614494548,0.3649733768032662,0.6903724004207702,0.5164544938938549,0.6601668536733217,0.3014732672664065,0.2581994587006676,0.473431019715428,0.5726981707924926,-0.0008185574467659,-0.0159539961445099,0.057179458643153,0.0786697972512127,0.1084576429121618,-0.1176742296282775
14,participant,0.4979720527849057,0.6346177451652224,0.3374890883054355,0.306198293578478,0.6314956289118758,0.3875855120143255,0.4897841378154224,0.6126099186251459,0.3888203187734408,0.3889675794142988,0.715002271161801,0.2865094469329317,-0.0081879149694832,-0.0220078265400764,0.0513312304680053,0.0827692858358207,0.0835066422499252,-0.1010760650813937
15,participant,0.4595812388734346,0.5963068772126534,0.4077257296564681,0.4146136426917023,0.938301338045666,0.0618505994124572,0.469547950409439,0.5993502893364426,0.4186115405171392,0.4186577535691171,0.7885202704131594,0.2248890184421608,0.0099667115360043,0.0030434121237892,0.0108858108606711,0.0040441108774147,-0.1497810676325065,0.1630384190297036
16,participant,0.4880054134427029,0.6294909672865051,0.3280508586762365,0.3155584041234382,0.6757387972626184,0.3418900104436925,0.4858282024070123,0.6143067307604135,0.3617215981202806,0.3855641268371564,0.7012255911996671,0.3058732948321003,-0.0021772110356905,-0.0151842365260915,0.033670739444044,0.0700057227137182,0.0254867939370486,-0.0360167156115921
17,participant,0.4857553611921263,0.6175839594826946,0.3595791778977017,0.3454388313564078,0.7999092204620971,0.1999101830107479,0.4928271607948527,0.631512124814926,0.3665854710580273,0.337493701006345,0.6234075085763998,0.3886983820112497,0.0070717996027264,0.0139281653322314,0.0070062931603256,-0.0079451303500628,-0.1765017118856973,0.1887881990005018
18,participant,0.5199867735154876,0.6564172692983268,0.2922956022588725,0.2681160500918135,0.4956098623949353,0.5310393939291329,0.5285312522250197,0.6621366878258855,0.3086532701745087,0.3054851684679168,0.4791278335500095,0.540583941571758,0.0085444787095321,0.0057194185275587,0.0163576679156361,0.0373691183761032,-0.0164820288449257,0.0095445476426251
19,participant,0.4891119760340295,0.6315948653533501,0.3431925583574361,0.3128514430708988,0.6536545941344424,0.3817533780600564,0.4966663496356036,0.6344264649878851,0.3781082176605462,0.3310479395202264,0.6030226864474278,0.4365114821714998,0.0075543736015741,0.002831599634535,0.0349156593031101,0.0181964964493275,-0.0506319076870145,0.0547581041114433
20,participant,0.5343734935913731,0.6903052170379955,0.1811792669310642,0.122401675962428,0.2567272641130111,0.8057288867242158,0.5380418184011307,0.6827460996276398,0.249215584810259,0.1840480195325595,0.3465217388095963,0.7075518298669388,0.0036683248097576,-0.0075591174103557,0.0680363178791947,0.0616463435701314,0.0897944746965851,-0.098177056857277
21,participant,0.5082559791266231,0.6576261722194731,0.2726664007601091,0.2247135310100838,0.4815696733289994,0.5636076631713471,0.5083925519450319,0.654385189028647,0.2835522116207802,0.2592186884760769,0.5033541860966312,0.5358335029899969,0.0001365728184087,-0.0032409831908261,0.0108858108606711,0.034505157465993,0.0217845127676317,-0.0277741601813502
22,participant,0.4942262848030314,0.6295038420530173,0.3615189367478745,0.3185993816283137,0.6722787072608016,0.339250933469854,0.4901437349939559,0.6167879787708908,0.4080152459027625,0.375078774094051,0.7079324910938156,0.287969928522893,-0.0040825498090754,-0.0127158632821265,0.0464963091548879,0.0564793924657373,0.0356537838330139,-0.0512810049469609
